01/04/2013,57,70,5,34.54385964912281
01/05/2013,55,60,5,30.6
01/06/2013,58,20,3,9.206896551724139
01/07/2013,64,35,1,12.296875
01/08/2013,51,40,5,16.80392156862745
01/09/2013,49,20,5,9.83673469387755
01/10/2013,34,20,10,12.058823529411764
01/11/2013,47,25,6,12.212765957446809
01/12/2013,60,45,0,15.933333333333334
01/13/2013,43,25,0,10.604651162790697
01/14/2013,36,120,3,15.36111111111111
01/15/2013,52,20,4,10.692307692307692
01/16/2013,41,20,10,10.487804878048781
01/17/2013,39,30,5,13.23076923076923
01/18/2013,45,30,5,15.666666666666666
01/19/2013,67,70,5,30.328358208955223
01/20/2013,75,60,5,29.56
01/21/2013,57,45,5,21.789473684210527
01/22/2013,30,30,5,19.266666666666666
01/23/2013,36,40,6,14.527777777777779
01/24/2013,45,30,10,12
01/25/2013,48,30,2,12.333333333333334
01/26/2013,53,30,2,12.49056603773585
01/27/2013,62,70,4,12.419354838709678
01/28/2013,36,20,4,11.583333333333334
01/29/2013,38,10,5,9.868421052631579
01/30/2013,42,20,10,12.619047619047619
01/31/2013,48,20,3,13.625
02/01/2013,36,20,10,11.11111111111111
02/02/2013,57,20,5,12.456140350877194
02/03/2013,55,40,1,16.636363636363637
02/04/2013,47,30,8,12.085106382978724
02/05/2013,33,30,10,12.727272727272727
02/06/2013,44,25,3,12.340909090909092
02/07/2013,44,10,5,9.772727272727273
02/08/2013,44,45,6,19.568181818181817
02/09/2013,58,35,0,16.17241379310345
02/10/2013,51,50,10,22.980392156862745
02/11/2013,67,100,2,18.16417910447761
02/12/2013,50,60,5,17.8
02/13/2013,53,50,5,22.07547169811321
02/14/2013,49,20,5,13.16326530612245
02/15/2013,52,50,5,17.423076923076923
02/16/2013,60,70,5,29
02/17/2013,52,50,5,21.865384615384617
02/18/2013,62,70,10,24.14516129032258
02/19/2013,49,30,5,13.673469387755102
02/20/2013,58,30,5,13.379310344827585
02/21/2013,51,10,5,9.901960784313726
02/22/2013,31,10,3,9.741935483870968
02/23/2013,58,20,5,10.431034482758621
02/24/2013,55,20,0,9.89090909090909
02/25/2013,18,10,3,8.61111111111111
02/27/2013,59,20,4,11.491525423728813
02/28/2013,40,30,4,12.425
03/01/2013,23,30,-999,-423.4782608695652
03/02/2013,58,40,3,12.482758620689655
03/03/2013,61,40,10,15.360655737704919
03/04/2013,47,20,4,13.063829787234043
03/05/2013,47,30,5,11.085106382978724
03/06/2013,58,20,10,11.551724137931034
03/07/2013,45,20,10,11.266666666666667
03/08/2013,64,90,6,20.65625
03/09/2013,4,30,1,13.25
03/10/2013,67,30,0,17.71641791044776
03/11/2013,59,45,4,17.440677966101696
03/12/2013,73,45,5,12.972602739726028
03/13/2013,52,70,5,32.01923076923077
03/14/2013,62,52,5,19.887096774193548
03/15/2013,44,30,-999,-79.56818181818181
03/16/2013,46,20,5,12.065217391304348
03/17/2013,44,20,10,11.818181818181818
03/18/2013,29,20,10,12.068965517241379
